 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/mo/199At_in_mo.txt

 Ion = Astatine     [85] , Mass = 198.9905 amu

 Density =  1.0206E+01 g/cm3 = 6.4061E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Astatine     [85] , Mass = 198.9905 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.829E-02  1.023E+00      14 A         7 A         6 A   
   1.10 keV   1.031E-01  1.080E+00      14 A         8 A         6 A   
   1.20 keV   1.077E-01  1.133E+00      15 A         8 A         6 A   
   1.30 keV   1.121E-01  1.184E+00      15 A         8 A         6 A   
   1.40 keV   1.163E-01  1.233E+00      16 A         8 A         6 A   
   1.50 keV   1.204E-01  1.280E+00      16 A         9 A         6 A   
   1.60 keV   1.243E-01  1.326E+00      17 A         9 A         7 A   
   1.70 keV   1.281E-01  1.370E+00      17 A         9 A         7 A   
   1.80 keV   1.319E-01  1.413E+00      18 A         9 A         7 A   
   2.00 keV   1.390E-01  1.494E+00      18 A        10 A         7 A   
   2.25 keV   1.474E-01  1.590E+00      19 A        10 A         8 A   
   2.50 keV   1.554E-01  1.679E+00      20 A        11 A         8 A   
   2.75 keV   1.630E-01  1.764E+00      21 A        11 A         8 A   
   3.00 keV   1.702E-01  1.844E+00      22 A        12 A         8 A   
   3.25 keV   1.772E-01  1.920E+00      23 A        12 A         9 A   
   3.50 keV   1.839E-01  1.993E+00      23 A        12 A         9 A   
   3.75 keV   1.903E-01  2.062E+00      24 A        13 A         9 A   
   4.00 keV   1.966E-01  2.129E+00      25 A        13 A         9 A   
   4.50 keV   2.085E-01  2.255E+00      26 A        14 A        10 A   
