 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/mo/207At_in_mo.txt

 Ion = Astatine     [85] , Mass = 206.9858 amu

 Density =  1.0206E+01 g/cm3 = 6.4061E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Astatine     [85] , Mass = 206.9858 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.637E-02  1.021E+00      14 A         7 A         6 A   
   1.10 keV   1.011E-01  1.077E+00      15 A         8 A         6 A   
   1.20 keV   1.056E-01  1.131E+00      15 A         8 A         6 A   
   1.30 keV   1.099E-01  1.182E+00      16 A         8 A         6 A   
   1.40 keV   1.140E-01  1.231E+00      16 A         9 A         6 A   
   1.50 keV   1.180E-01  1.278E+00      17 A         9 A         6 A   
   1.60 keV   1.219E-01  1.324E+00      17 A         9 A         7 A   
   1.70 keV   1.256E-01  1.368E+00      18 A         9 A         7 A   
   1.80 keV   1.293E-01  1.410E+00      18 A         9 A         7 A   
   2.00 keV   1.363E-01  1.492E+00      19 A        10 A         7 A   
   2.25 keV   1.446E-01  1.587E+00      20 A        10 A         8 A   
   2.50 keV   1.524E-01  1.677E+00      21 A        11 A         8 A   
   2.75 keV   1.598E-01  1.762E+00      22 A        11 A         8 A   
   3.00 keV   1.669E-01  1.842E+00      22 A        12 A         8 A   
   3.25 keV   1.737E-01  1.918E+00      23 A        12 A         9 A   
   3.50 keV   1.803E-01  1.991E+00      24 A        12 A         9 A   
   3.75 keV   1.866E-01  2.061E+00      25 A        13 A         9 A   
   4.00 keV   1.927E-01  2.128E+00      25 A        13 A         9 A   
   4.50 keV   2.044E-01  2.254E+00      27 A        14 A        10 A   
