 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/mo/180Hg_in_mo.txt

 Ion = Mercury      [80] , Mass = 179.9783 amu

 Density =  1.0206E+01 g/cm3 = 6.4061E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Mercury      [80] , Mass = 179.9783 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.911E-02  1.012E+00      13 A         8 A         6 A   
   1.10 keV   1.039E-01  1.066E+00      14 A         8 A         6 A   
   1.20 keV   1.086E-01  1.119E+00      14 A         8 A         6 A   
   1.30 keV   1.130E-01  1.169E+00      15 A         8 A         6 A   
   1.40 keV   1.173E-01  1.216E+00      15 A         9 A         6 A   
   1.50 keV   1.214E-01  1.262E+00      16 A         9 A         7 A   
   1.60 keV   1.254E-01  1.307E+00      16 A         9 A         7 A   
   1.70 keV   1.292E-01  1.350E+00      17 A         9 A         7 A   
   1.80 keV   1.330E-01  1.391E+00      17 A        10 A         7 A   
   2.00 keV   1.402E-01  1.470E+00      18 A        10 A         7 A   
   2.25 keV   1.487E-01  1.563E+00      19 A        10 A         8 A   
   2.50 keV   1.567E-01  1.650E+00      20 A        11 A         8 A   
   2.75 keV   1.643E-01  1.732E+00      21 A        11 A         8 A   
   3.00 keV   1.717E-01  1.809E+00      21 A        12 A         9 A   
   3.25 keV   1.787E-01  1.883E+00      22 A        12 A         9 A   
   3.50 keV   1.854E-01  1.953E+00      23 A        12 A         9 A   
   3.75 keV   1.919E-01  2.020E+00      24 A        13 A         9 A   
   4.00 keV   1.982E-01  2.084E+00      24 A        13 A        10 A   
   4.50 keV   2.102E-01  2.206E+00      26 A        14 A        10 A   
