 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/mo/101Cd_in_mo.txt

 Ion = Cadmium      [48] , Mass = 100.9186 amu

 Density =  1.0206E+01 g/cm3 = 6.4061E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cadmium      [48] , Mass = 100.9186 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.033E-02  8.245E-01      12 A         9 A         7 A   
   1.10 keV   4.230E-02  8.654E-01      13 A        10 A         7 A   
   1.20 keV   4.418E-02  9.042E-01      13 A        10 A         7 A   
   1.30 keV   4.599E-02  9.410E-01      14 A        10 A         7 A   
   1.40 keV   4.772E-02  9.761E-01      14 A        11 A         8 A   
   1.50 keV   4.940E-02  1.010E+00      15 A        11 A         8 A   
   1.60 keV   5.102E-02  1.042E+00      15 A        11 A         8 A   
   1.70 keV   5.259E-02  1.073E+00      16 A        12 A         8 A   
   1.80 keV   5.411E-02  1.103E+00      16 A        12 A         9 A   
   2.00 keV   5.704E-02  1.159E+00      17 A        12 A         9 A   
   2.25 keV   6.050E-02  1.224E+00      18 A        13 A         9 A   
   2.50 keV   6.377E-02  1.285E+00      19 A        14 A        10 A   
   2.75 keV   6.689E-02  1.342E+00      20 A        14 A        10 A   
   3.00 keV   6.986E-02  1.395E+00      21 A        15 A        11 A   
   3.25 keV   7.271E-02  1.445E+00      22 A        15 A        11 A   
   3.50 keV   7.546E-02  1.493E+00      23 A        16 A        11 A   
   3.75 keV   7.811E-02  1.538E+00      23 A        16 A        12 A   
   4.00 keV   8.067E-02  1.580E+00      24 A        17 A        12 A   
   4.50 keV   8.556E-02  1.660E+00      26 A        18 A        13 A   
