 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ti/173Hg_in_ti.txt

 Ion = Mercury      [80] , Mass = 172.9971 amu

 Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Mercury      [80] , Mass = 172.9971 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.410E-01  1.554E+00      24 A        10 A         7 A   
   1.10 keV   1.479E-01  1.636E+00      25 A        10 A         7 A   
   1.20 keV   1.544E-01  1.715E+00      26 A        11 A         8 A   
   1.30 keV   1.607E-01  1.790E+00      27 A        11 A         8 A   
   1.40 keV   1.668E-01  1.861E+00      28 A        11 A         8 A   
   1.50 keV   1.727E-01  1.930E+00      29 A        11 A         8 A   
   1.60 keV   1.783E-01  1.997E+00      29 A        12 A         9 A   
   1.70 keV   1.838E-01  2.061E+00      30 A        12 A         9 A   
   1.80 keV   1.891E-01  2.122E+00      31 A        12 A         9 A   
   2.00 keV   1.994E-01  2.240E+00      32 A        13 A         9 A   
   2.25 keV   2.115E-01  2.378E+00      34 A        14 A        10 A   
   2.50 keV   2.229E-01  2.507E+00      36 A        14 A        10 A   
   2.75 keV   2.338E-01  2.627E+00      37 A        15 A        11 A   
   3.00 keV   2.442E-01  2.742E+00      39 A        15 A        11 A   
   3.25 keV   2.542E-01  2.850E+00      40 A        16 A        11 A   
   3.50 keV   2.638E-01  2.953E+00      41 A        16 A        12 A   
   3.75 keV   2.730E-01  3.052E+00      43 A        17 A        12 A   
   4.00 keV   2.820E-01  3.146E+00      44 A        17 A        12 A   
   4.50 keV   2.991E-01  3.323E+00      47 A        18 A        13 A   
