 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/199Re_in_mylar.txt

 Ion = Rhenium      [75] , Mass = 198.9842 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rhenium      [75] , Mass = 198.9842 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.945E-01  2.381E+00      61 A        12 A         8 A   
   1.10 keV   3.089E-01  2.506E+00      63 A        12 A         8 A   
   1.20 keV   3.226E-01  2.625E+00      66 A        12 A         9 A   
   1.30 keV   3.358E-01  2.739E+00      68 A        13 A         9 A   
   1.40 keV   3.485E-01  2.847E+00      70 A        13 A         9 A   
   1.50 keV   3.607E-01  2.952E+00      72 A        14 A         9 A   
   1.60 keV   3.726E-01  3.052E+00      74 A        14 A        10 A   
   1.70 keV   3.840E-01  3.149E+00      76 A        14 A        10 A   
   1.80 keV   3.952E-01  3.242E+00      78 A        15 A        10 A   
   2.00 keV   4.165E-01  3.420E+00      82 A        15 A        11 A   
   2.25 keV   4.418E-01  3.628E+00      86 A        16 A        11 A   
   2.50 keV   4.657E-01  3.822E+00      90 A        17 A        12 A   
   2.75 keV   4.884E-01  4.004E+00      94 A        17 A        12 A   
   3.00 keV   5.101E-01  4.176E+00      97 A        18 A        13 A   
   3.25 keV   5.310E-01  4.339E+00     101 A        19 A        13 A   
   3.50 keV   5.510E-01  4.494E+00     104 A        19 A        13 A   
   3.75 keV   5.704E-01  4.641E+00     108 A        20 A        14 A   
   4.00 keV   5.891E-01  4.782E+00     111 A        20 A        14 A   
