 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/224Po_in_mylar.txt

 Ion = Polonium     [84] , Mass = 224.0321 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Polonium     [84] , Mass = 224.0321 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.300E-01  2.313E+00      63 A        11 A         8 A   
   1.10 keV   3.461E-01  2.437E+00      65 A        12 A         8 A   
   1.20 keV   3.615E-01  2.555E+00      68 A        12 A         8 A   
   1.30 keV   3.762E-01  2.668E+00      70 A        12 A         9 A   
   1.40 keV   3.904E-01  2.777E+00      72 A        13 A         9 A   
   1.50 keV   4.041E-01  2.881E+00      74 A        13 A         9 A   
   1.60 keV   4.174E-01  2.981E+00      76 A        13 A         9 A   
   1.70 keV   4.302E-01  3.078E+00      78 A        14 A        10 A   
   1.80 keV   4.427E-01  3.172E+00      80 A        14 A        10 A   
   2.00 keV   4.667E-01  3.350E+00      84 A        15 A        10 A   
   2.25 keV   4.950E-01  3.559E+00      88 A        15 A        11 A   
   2.50 keV   5.217E-01  3.755E+00      92 A        16 A        11 A   
   2.75 keV   5.472E-01  3.939E+00      96 A        17 A        12 A   
   3.00 keV   5.715E-01  4.113E+00     100 A        17 A        12 A   
   3.25 keV   5.949E-01  4.279E+00     103 A        18 A        12 A   
   3.50 keV   6.173E-01  4.436E+00     107 A        19 A        13 A   
   3.75 keV   6.390E-01  4.587E+00     110 A        19 A        13 A   
   4.00 keV   6.600E-01  4.731E+00     113 A        20 A        14 A   
