 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/91Mo_in_mylar.txt

 Ion = Molybdenum   [42] , Mass = 90.91174 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Molybdenum   [42] , Mass = 90.91174 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.306E-01  2.718E+00      48 A        13 A        10 A   
   1.10 keV   1.370E-01  2.840E+00      50 A        14 A        10 A   
   1.20 keV   1.431E-01  2.954E+00      52 A        14 A        10 A   
   1.30 keV   1.489E-01  3.062E+00      54 A        15 A        11 A   
   1.40 keV   1.545E-01  3.164E+00      56 A        15 A        11 A   
   1.50 keV   1.600E-01  3.262E+00      58 A        16 A        11 A   
   1.60 keV   1.652E-01  3.354E+00      60 A        16 A        12 A   
   1.70 keV   1.703E-01  3.442E+00      62 A        17 A        12 A   
   1.80 keV   1.752E-01  3.527E+00      64 A        17 A        12 A   
   2.00 keV   1.847E-01  3.686E+00      67 A        18 A        13 A   
   2.25 keV   1.959E-01  3.868E+00      71 A        19 A        14 A   
   2.50 keV   2.065E-01  4.036E+00      75 A        20 A        14 A   
   2.75 keV   2.166E-01  4.190E+00      78 A        20 A        15 A   
   3.00 keV   2.262E-01  4.333E+00      82 A        21 A        16 A   
   3.25 keV   2.355E-01  4.467E+00      85 A        22 A        16 A   
   3.50 keV   2.443E-01  4.593E+00      89 A        23 A        17 A   
   3.75 keV   2.529E-01  4.711E+00      92 A        23 A        17 A   
   4.00 keV   2.612E-01  4.822E+00      95 A        24 A        18 A   
