 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 25, 2024 
 ==================================================================

 Disk File Name = range/mylar/110Te_in_mylar.txt

 Ion = Tellurium    [52] , Mass = 109.9225 amu

 Density =  1.3970E+00 g/cm3 = 9.6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036.36    004.20   
      C      6    045.45    062.50   
      O      8    018.18    033.30   
 ====================================
 Bragg Correction = -4.30%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tellurium    [52] , Mass = 109.9225 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.175E-01  2.737E+00      51 A        13 A         9 A   
   1.10 keV   1.233E-01  2.867E+00      53 A        14 A        10 A   
   1.20 keV   1.287E-01  2.989E+00      55 A        14 A        10 A   
   1.30 keV   1.340E-01  3.105E+00      57 A        15 A        10 A   
   1.40 keV   1.390E-01  3.215E+00      59 A        15 A        11 A   
   1.50 keV   1.439E-01  3.320E+00      61 A        16 A        11 A   
   1.60 keV   1.486E-01  3.421E+00      63 A        16 A        11 A   
   1.70 keV   1.532E-01  3.517E+00      65 A        16 A        12 A   
   1.80 keV   1.577E-01  3.609E+00      66 A        17 A        12 A   
   2.00 keV   1.662E-01  3.783E+00      70 A        17 A        13 A   
   2.25 keV   1.763E-01  3.985E+00      74 A        18 A        13 A   
   2.50 keV   1.858E-01  4.170E+00      77 A        19 A        14 A   
   2.75 keV   1.949E-01  4.343E+00      81 A        20 A        14 A   
   3.00 keV   2.035E-01  4.504E+00      85 A        21 A        15 A   
   3.25 keV   2.119E-01  4.655E+00      88 A        21 A        16 A   
   3.50 keV   2.199E-01  4.797E+00      91 A        22 A        16 A   
   3.75 keV   2.276E-01  4.932E+00      94 A        23 A        17 A   
   4.00 keV   2.350E-01  5.059E+00      97 A        23 A        17 A   
