 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/132In_in_ni.txt

 Ion = Indium       [49] , Mass = 131.933 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Indium       [49] , Mass = 131.933 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.194E-02  1.271E+00      13 A         7 A         5 A   
   1.10 keV   3.350E-02  1.334E+00      14 A         7 A         5 A   
   1.20 keV   3.499E-02  1.394E+00      14 A         7 A         5 A   
   1.30 keV   3.642E-02  1.451E+00      15 A         8 A         6 A   
   1.40 keV   3.780E-02  1.505E+00      15 A         8 A         6 A   
   1.50 keV   3.912E-02  1.557E+00      16 A         8 A         6 A   
   1.60 keV   4.041E-02  1.607E+00      16 A         8 A         6 A   
   1.70 keV   4.165E-02  1.655E+00      17 A         9 A         6 A   
   1.80 keV   4.286E-02  1.701E+00      17 A         9 A         6 A   
   2.00 keV   4.518E-02  1.789E+00      18 A         9 A         7 A   
   2.25 keV   4.792E-02  1.890E+00      19 A        10 A         7 A   
   2.50 keV   5.051E-02  1.984E+00      20 A        10 A         7 A   
   2.75 keV   5.297E-02  2.072E+00      21 A        10 A         8 A   
   3.00 keV   5.533E-02  2.155E+00      22 A        11 A         8 A   
   3.25 keV   5.759E-02  2.233E+00      23 A        11 A         8 A   
   3.50 keV   5.976E-02  2.306E+00      23 A        12 A         8 A   
   3.75 keV   6.186E-02  2.376E+00      24 A        12 A         9 A   
   4.00 keV   6.389E-02  2.443E+00      25 A        12 A         9 A   
   4.50 keV   6.776E-02  2.567E+00      27 A        13 A         9 A   
