 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/136Pr_in_ni.txt

 Ion = Praseodymium [59] , Mass = 135.9127 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Praseodymium [59] , Mass = 135.9127 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.086E-02  1.340E+00      13 A         7 A         5 A   
   1.10 keV   3.236E-02  1.408E+00      13 A         7 A         5 A   
   1.20 keV   3.380E-02  1.473E+00      14 A         7 A         5 A   
   1.30 keV   3.518E-02  1.535E+00      14 A         7 A         5 A   
   1.40 keV   3.651E-02  1.594E+00      15 A         8 A         6 A   
   1.50 keV   3.779E-02  1.650E+00      15 A         8 A         6 A   
   1.60 keV   3.903E-02  1.705E+00      16 A         8 A         6 A   
   1.70 keV   4.023E-02  1.757E+00      16 A         8 A         6 A   
   1.80 keV   4.140E-02  1.807E+00      17 A         8 A         6 A   
   2.00 keV   4.364E-02  1.903E+00      17 A         9 A         6 A   
   2.25 keV   4.629E-02  2.014E+00      18 A         9 A         7 A   
   2.50 keV   4.879E-02  2.118E+00      19 A        10 A         7 A   
   2.75 keV   5.117E-02  2.215E+00      20 A        10 A         7 A   
   3.00 keV   5.345E-02  2.306E+00      21 A        10 A         8 A   
   3.25 keV   5.563E-02  2.392E+00      22 A        11 A         8 A   
   3.50 keV   5.773E-02  2.474E+00      22 A        11 A         8 A   
   3.75 keV   5.976E-02  2.552E+00      23 A        11 A         8 A   
   4.00 keV   6.171E-02  2.626E+00      24 A        12 A         9 A   
   4.50 keV   6.546E-02  2.765E+00      25 A        12 A         9 A   
