 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/117Cd_in_ni.txt

 Ion = Cadmium      [48] , Mass = 116.9072 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cadmium      [48] , Mass = 116.9072 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.482E-02  1.267E+00      13 A         7 A         5 A   
   1.10 keV   3.652E-02  1.329E+00      13 A         7 A         5 A   
   1.20 keV   3.815E-02  1.388E+00      14 A         7 A         5 A   
   1.30 keV   3.971E-02  1.444E+00      14 A         8 A         6 A   
   1.40 keV   4.120E-02  1.498E+00      15 A         8 A         6 A   
   1.50 keV   4.265E-02  1.549E+00      15 A         8 A         6 A   
   1.60 keV   4.405E-02  1.597E+00      15 A         8 A         6 A   
   1.70 keV   4.540E-02  1.644E+00      16 A         9 A         6 A   
   1.80 keV   4.672E-02  1.690E+00      16 A         9 A         6 A   
   2.00 keV   4.925E-02  1.775E+00      17 A         9 A         7 A   
   2.25 keV   5.224E-02  1.875E+00      18 A        10 A         7 A   
   2.50 keV   5.506E-02  1.966E+00      19 A        10 A         7 A   
   2.75 keV   5.775E-02  2.052E+00      20 A        11 A         8 A   
   3.00 keV   6.032E-02  2.133E+00      21 A        11 A         8 A   
   3.25 keV   6.278E-02  2.208E+00      22 A        11 A         8 A   
   3.50 keV   6.515E-02  2.280E+00      23 A        12 A         8 A   
   3.75 keV   6.744E-02  2.348E+00      23 A        12 A         9 A   
   4.00 keV   6.965E-02  2.412E+00      24 A        12 A         9 A   
   4.50 keV   7.387E-02  2.533E+00      26 A        13 A        10 A   
