 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/115Xe_in_ni.txt

 Ion = Xenon        [54] , Mass = 114.9263 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Xenon        [54] , Mass = 114.9263 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.758E-02  1.313E+00      12 A         7 A         5 A   
   1.10 keV   6.039E-02  1.378E+00      12 A         7 A         5 A   
   1.20 keV   6.307E-02  1.441E+00      13 A         7 A         5 A   
   1.30 keV   6.565E-02  1.500E+00      13 A         7 A         5 A   
   1.40 keV   6.812E-02  1.556E+00      14 A         8 A         6 A   
   1.50 keV   7.052E-02  1.610E+00      14 A         8 A         6 A   
   1.60 keV   7.283E-02  1.661E+00      15 A         8 A         6 A   
   1.70 keV   7.507E-02  1.711E+00      15 A         8 A         6 A   
   1.80 keV   7.725E-02  1.759E+00      16 A         8 A         6 A   
   2.00 keV   8.142E-02  1.849E+00      16 A         9 A         6 A   
   2.25 keV   8.636E-02  1.954E+00      17 A         9 A         7 A   
   2.50 keV   9.104E-02  2.052E+00      18 A        10 A         7 A   
   2.75 keV   9.548E-02  2.143E+00      19 A        10 A         7 A   
   3.00 keV   9.972E-02  2.229E+00      20 A        10 A         8 A   
   3.25 keV   1.038E-01  2.309E+00      21 A        11 A         8 A   
   3.50 keV   1.077E-01  2.386E+00      21 A        11 A         8 A   
   3.75 keV   1.115E-01  2.458E+00      22 A        12 A         8 A   
   4.00 keV   1.152E-01  2.527E+00      23 A        12 A         9 A   
   4.50 keV   1.221E-01  2.656E+00      24 A        12 A         9 A   
