 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/135Sb_in_ni.txt

 Ion = Antimony     [51] , Mass = 134.9252 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Antimony     [51] , Mass = 134.9252 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.104E-02  1.285E+00      13 A         7 A         5 A   
   1.10 keV   3.255E-02  1.349E+00      14 A         7 A         5 A   
   1.20 keV   3.400E-02  1.410E+00      14 A         7 A         5 A   
   1.30 keV   3.539E-02  1.468E+00      15 A         8 A         6 A   
   1.40 keV   3.673E-02  1.524E+00      15 A         8 A         6 A   
   1.50 keV   3.802E-02  1.577E+00      16 A         8 A         6 A   
   1.60 keV   3.926E-02  1.627E+00      16 A         8 A         6 A   
   1.70 keV   4.047E-02  1.676E+00      17 A         8 A         6 A   
   1.80 keV   4.164E-02  1.723E+00      17 A         9 A         6 A   
   2.00 keV   4.390E-02  1.813E+00      18 A         9 A         7 A   
   2.25 keV   4.656E-02  1.916E+00      19 A        10 A         7 A   
   2.50 keV   4.908E-02  2.013E+00      20 A        10 A         7 A   
   2.75 keV   5.147E-02  2.103E+00      21 A        10 A         8 A   
   3.00 keV   5.376E-02  2.187E+00      22 A        11 A         8 A   
   3.25 keV   5.596E-02  2.267E+00      23 A        11 A         8 A   
   3.50 keV   5.807E-02  2.342E+00      23 A        11 A         8 A   
   3.75 keV   6.011E-02  2.414E+00      24 A        12 A         9 A   
   4.00 keV   6.208E-02  2.482E+00      25 A        12 A         9 A   
   4.50 keV   6.585E-02  2.610E+00      26 A        13 A         9 A   
