 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/135Pr_in_ni.txt

 Ion = Praseodymium [59] , Mass = 134.9131 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Praseodymium [59] , Mass = 134.9131 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.097E-02  1.340E+00      13 A         7 A         5 A   
   1.10 keV   3.248E-02  1.409E+00      13 A         7 A         5 A   
   1.20 keV   3.393E-02  1.474E+00      14 A         7 A         5 A   
   1.30 keV   3.531E-02  1.535E+00      14 A         7 A         5 A   
   1.40 keV   3.665E-02  1.594E+00      15 A         8 A         6 A   
   1.50 keV   3.793E-02  1.651E+00      15 A         8 A         6 A   
   1.60 keV   3.918E-02  1.705E+00      16 A         8 A         6 A   
   1.70 keV   4.038E-02  1.757E+00      16 A         8 A         6 A   
   1.80 keV   4.155E-02  1.808E+00      16 A         8 A         6 A   
   2.00 keV   4.380E-02  1.903E+00      17 A         9 A         6 A   
   2.25 keV   4.646E-02  2.015E+00      18 A         9 A         7 A   
   2.50 keV   4.897E-02  2.118E+00      19 A        10 A         7 A   
   2.75 keV   5.136E-02  2.215E+00      20 A        10 A         7 A   
   3.00 keV   5.364E-02  2.306E+00      21 A        10 A         8 A   
   3.25 keV   5.583E-02  2.393E+00      22 A        11 A         8 A   
   3.50 keV   5.794E-02  2.474E+00      22 A        11 A         8 A   
   3.75 keV   5.998E-02  2.552E+00      23 A        11 A         8 A   
   4.00 keV   6.194E-02  2.626E+00      24 A        12 A         9 A   
   4.50 keV   6.570E-02  2.765E+00      25 A        12 A         9 A   
