 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/94Sr_in_ni.txt

 Ion = Strontium    [38] , Mass = 93.91535 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Strontium    [38] , Mass = 93.91535 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.468E-02  1.164E+00      12 A         7 A         5 A   
   1.10 keV   3.637E-02  1.218E+00      13 A         8 A         6 A   
   1.20 keV   3.799E-02  1.270E+00      13 A         8 A         6 A   
   1.30 keV   3.954E-02  1.318E+00      14 A         8 A         6 A   
   1.40 keV   4.104E-02  1.365E+00      14 A         8 A         6 A   
   1.50 keV   4.248E-02  1.409E+00      15 A         9 A         6 A   
   1.60 keV   4.387E-02  1.451E+00      15 A         9 A         6 A   
   1.70 keV   4.522E-02  1.491E+00      16 A         9 A         7 A   
   1.80 keV   4.653E-02  1.530E+00      16 A         9 A         7 A   
   2.00 keV   4.905E-02  1.603E+00      17 A        10 A         7 A   
   2.25 keV   5.202E-02  1.687E+00      18 A        10 A         8 A   
   2.50 keV   5.484E-02  1.765E+00      19 A        11 A         8 A   
   2.75 keV   5.751E-02  1.837E+00      20 A        11 A         8 A   
   3.00 keV   6.007E-02  1.904E+00      21 A        12 A         9 A   
   3.25 keV   6.252E-02  1.967E+00      22 A        12 A         9 A   
   3.50 keV   6.488E-02  2.026E+00      23 A        13 A         9 A   
   3.75 keV   6.716E-02  2.082E+00      23 A        13 A         9 A   
   4.00 keV   6.936E-02  2.135E+00      24 A        14 A        10 A   
   4.50 keV   7.357E-02  2.233E+00      26 A        14 A        10 A   
