 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/115Ru_in_ni.txt

 Ion = Ruthenium    [44] , Mass = 114.929 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Ruthenium    [44] , Mass = 114.929 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.091E-02  1.233E+00      13 A         7 A         5 A   
   1.10 keV   3.242E-02  1.293E+00      13 A         7 A         5 A   
   1.20 keV   3.386E-02  1.349E+00      14 A         8 A         6 A   
   1.30 keV   3.524E-02  1.403E+00      14 A         8 A         6 A   
   1.40 keV   3.657E-02  1.454E+00      15 A         8 A         6 A   
   1.50 keV   3.786E-02  1.503E+00      15 A         8 A         6 A   
   1.60 keV   3.910E-02  1.550E+00      16 A         9 A         6 A   
   1.70 keV   4.030E-02  1.595E+00      16 A         9 A         6 A   
   1.80 keV   4.147E-02  1.638E+00      17 A         9 A         7 A   
   2.00 keV   4.371E-02  1.720E+00      18 A         9 A         7 A   
   2.25 keV   4.637E-02  1.814E+00      19 A        10 A         7 A   
   2.50 keV   4.887E-02  1.902E+00      19 A        10 A         8 A   
   2.75 keV   5.126E-02  1.983E+00      20 A        11 A         8 A   
   3.00 keV   5.354E-02  2.060E+00      21 A        11 A         8 A   
   3.25 keV   5.573E-02  2.131E+00      22 A        12 A         8 A   
   3.50 keV   5.783E-02  2.199E+00      23 A        12 A         9 A   
   3.75 keV   5.986E-02  2.263E+00      24 A        12 A         9 A   
   4.00 keV   6.182E-02  2.324E+00      25 A        13 A         9 A   
   4.50 keV   6.557E-02  2.438E+00      26 A        13 A        10 A   
