 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/135In_in_ni.txt

 Ion = Indium       [49] , Mass = 134.9494 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Indium       [49] , Mass = 134.9494 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.158E-02  1.269E+00      13 A         7 A         5 A   
   1.10 keV   3.313E-02  1.333E+00      14 A         7 A         5 A   
   1.20 keV   3.460E-02  1.393E+00      14 A         7 A         5 A   
   1.30 keV   3.601E-02  1.450E+00      15 A         8 A         6 A   
   1.40 keV   3.737E-02  1.504E+00      15 A         8 A         6 A   
   1.50 keV   3.868E-02  1.556E+00      16 A         8 A         6 A   
   1.60 keV   3.995E-02  1.606E+00      16 A         8 A         6 A   
   1.70 keV   4.118E-02  1.654E+00      17 A         9 A         6 A   
   1.80 keV   4.238E-02  1.700E+00      17 A         9 A         6 A   
   2.00 keV   4.467E-02  1.788E+00      18 A         9 A         7 A   
   2.25 keV   4.738E-02  1.889E+00      19 A        10 A         7 A   
   2.50 keV   4.994E-02  1.984E+00      20 A        10 A         7 A   
   2.75 keV   5.238E-02  2.072E+00      21 A        10 A         8 A   
   3.00 keV   5.471E-02  2.155E+00      22 A        11 A         8 A   
   3.25 keV   5.694E-02  2.233E+00      23 A        11 A         8 A   
   3.50 keV   5.909E-02  2.306E+00      24 A        12 A         8 A   
   3.75 keV   6.116E-02  2.376E+00      24 A        12 A         9 A   
   4.00 keV   6.317E-02  2.443E+00      25 A        12 A         9 A   
   4.50 keV   6.700E-02  2.568E+00      27 A        13 A         9 A   
