 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/179Re_in_ni.txt

 Ion = Rhenium      [75] , Mass = 178.95 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rhenium      [75] , Mass = 178.95 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.425E-02  1.385E+00      14 A         6 A         5 A   
   1.10 keV   8.837E-02  1.458E+00      14 A         6 A         5 A   
   1.20 keV   9.230E-02  1.529E+00      15 A         7 A         5 A   
   1.30 keV   9.606E-02  1.596E+00      15 A         7 A         5 A   
   1.40 keV   9.969E-02  1.660E+00      16 A         7 A         5 A   
   1.50 keV   1.032E-01  1.722E+00      16 A         7 A         5 A   
   1.60 keV   1.066E-01  1.781E+00      16 A         7 A         5 A   
   1.70 keV   1.099E-01  1.839E+00      17 A         7 A         6 A   
   1.80 keV   1.130E-01  1.894E+00      17 A         8 A         6 A   
   2.00 keV   1.192E-01  2.000E+00      18 A         8 A         6 A   
   2.25 keV   1.264E-01  2.124E+00      19 A         8 A         6 A   
   2.50 keV   1.332E-01  2.240E+00      20 A         9 A         6 A   
   2.75 keV   1.397E-01  2.349E+00      21 A         9 A         7 A   
   3.00 keV   1.459E-01  2.451E+00      22 A         9 A         7 A   
   3.25 keV   1.519E-01  2.549E+00      22 A        10 A         7 A   
   3.50 keV   1.576E-01  2.642E+00      23 A        10 A         7 A   
   3.75 keV   1.632E-01  2.731E+00      24 A        10 A         8 A   
   4.00 keV   1.685E-01  2.816E+00      25 A        11 A         8 A   
   4.50 keV   1.787E-01  2.976E+00      26 A        11 A         8 A   
