 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/73Rb_in_ni.txt

 Ion = Rubidium     [37] , Mass = 72.95061 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rubidium     [37] , Mass = 72.95061 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.807E-02  1.114E+00      11 A         8 A         5 A   
   1.10 keV   3.993E-02  1.165E+00      12 A         8 A         6 A   
   1.20 keV   4.171E-02  1.213E+00      12 A         8 A         6 A   
   1.30 keV   4.341E-02  1.259E+00      13 A         8 A         6 A   
   1.40 keV   4.505E-02  1.302E+00      13 A         9 A         6 A   
   1.50 keV   4.663E-02  1.343E+00      14 A         9 A         6 A   
   1.60 keV   4.816E-02  1.382E+00      14 A         9 A         7 A   
   1.70 keV   4.964E-02  1.419E+00      15 A        10 A         7 A   
   1.80 keV   5.108E-02  1.455E+00      15 A        10 A         7 A   
   2.00 keV   5.384E-02  1.522E+00      16 A        10 A         7 A   
   2.25 keV   5.711E-02  1.600E+00      17 A        11 A         8 A   
   2.50 keV   6.020E-02  1.671E+00      18 A        11 A         8 A   
   2.75 keV   6.314E-02  1.737E+00      19 A        12 A         8 A   
   3.00 keV   6.594E-02  1.799E+00      20 A        12 A         9 A   
   3.25 keV   6.864E-02  1.856E+00      20 A        13 A         9 A   
   3.50 keV   7.123E-02  1.910E+00      21 A        13 A        10 A   
   3.75 keV   7.373E-02  1.961E+00      22 A        14 A        10 A   
   4.00 keV   7.614E-02  2.009E+00      23 A        14 A        10 A   
   4.50 keV   8.076E-02  2.098E+00      25 A        15 A        11 A   
