 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/113In_in_ni.txt

 Ion = Indium       [49] , Mass = 112.9041 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Indium       [49] , Mass = 112.9041 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.453E-02  1.275E+00      12 A         7 A         5 A   
   1.10 keV   3.622E-02  1.337E+00      13 A         7 A         5 A   
   1.20 keV   3.783E-02  1.397E+00      13 A         7 A         5 A   
   1.30 keV   3.937E-02  1.453E+00      14 A         8 A         6 A   
   1.40 keV   4.086E-02  1.507E+00      14 A         8 A         6 A   
   1.50 keV   4.229E-02  1.558E+00      15 A         8 A         6 A   
   1.60 keV   4.368E-02  1.608E+00      15 A         8 A         6 A   
   1.70 keV   4.502E-02  1.655E+00      16 A         9 A         6 A   
   1.80 keV   4.633E-02  1.700E+00      16 A         9 A         6 A   
   2.00 keV   4.883E-02  1.786E+00      17 A         9 A         7 A   
   2.25 keV   5.180E-02  1.886E+00      18 A        10 A         7 A   
   2.50 keV   5.460E-02  1.979E+00      19 A        10 A         7 A   
   2.75 keV   5.726E-02  2.065E+00      20 A        11 A         8 A   
   3.00 keV   5.981E-02  2.146E+00      20 A        11 A         8 A   
   3.25 keV   6.225E-02  2.222E+00      21 A        11 A         8 A   
   3.50 keV   6.460E-02  2.294E+00      22 A        12 A         8 A   
   3.75 keV   6.687E-02  2.363E+00      23 A        12 A         9 A   
   4.00 keV   6.906E-02  2.427E+00      24 A        12 A         9 A   
   4.50 keV   7.325E-02  2.549E+00      25 A        13 A         9 A   
