 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/121Sb_in_ni.txt

 Ion = Antimony     [51] , Mass = 120.9038 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Antimony     [51] , Mass = 120.9038 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.279E-02  1.290E+00      13 A         7 A         5 A   
   1.10 keV   3.439E-02  1.354E+00      13 A         7 A         5 A   
   1.20 keV   3.592E-02  1.415E+00      14 A         7 A         5 A   
   1.30 keV   3.739E-02  1.473E+00      14 A         8 A         6 A   
   1.40 keV   3.880E-02  1.528E+00      15 A         8 A         6 A   
   1.50 keV   4.016E-02  1.580E+00      15 A         8 A         6 A   
   1.60 keV   4.148E-02  1.631E+00      15 A         8 A         6 A   
   1.70 keV   4.275E-02  1.679E+00      16 A         9 A         6 A   
   1.80 keV   4.399E-02  1.726E+00      16 A         9 A         6 A   
   2.00 keV   4.637E-02  1.814E+00      17 A         9 A         7 A   
   2.25 keV   4.919E-02  1.917E+00      18 A        10 A         7 A   
   2.50 keV   5.185E-02  2.013E+00      19 A        10 A         7 A   
   2.75 keV   5.438E-02  2.102E+00      20 A        10 A         8 A   
   3.00 keV   5.679E-02  2.185E+00      21 A        11 A         8 A   
   3.25 keV   5.911E-02  2.264E+00      22 A        11 A         8 A   
   3.50 keV   6.135E-02  2.338E+00      22 A        12 A         8 A   
   3.75 keV   6.350E-02  2.409E+00      23 A        12 A         9 A   
   4.00 keV   6.558E-02  2.476E+00      24 A        12 A         9 A   
   4.50 keV   6.956E-02  2.602E+00      25 A        13 A         9 A   
