 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/ni/142Sb_in_ni.txt

 Ion = Antimony     [51] , Mass = 141.9639 amu

 Density =  8.8955E+00 g/cm3 = 9.1274E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ni     28    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Antimony     [51] , Mass = 141.9639 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.026E-02  1.280E+00      14 A         7 A         5 A   
   1.10 keV   3.174E-02  1.345E+00      14 A         7 A         5 A   
   1.20 keV   3.315E-02  1.406E+00      15 A         7 A         5 A   
   1.30 keV   3.450E-02  1.464E+00      15 A         8 A         6 A   
   1.40 keV   3.580E-02  1.520E+00      16 A         8 A         6 A   
   1.50 keV   3.706E-02  1.573E+00      16 A         8 A         6 A   
   1.60 keV   3.828E-02  1.623E+00      17 A         8 A         6 A   
   1.70 keV   3.945E-02  1.672E+00      17 A         8 A         6 A   
   1.80 keV   4.060E-02  1.720E+00      17 A         9 A         6 A   
   2.00 keV   4.279E-02  1.809E+00      18 A         9 A         7 A   
   2.25 keV   4.539E-02  1.913E+00      19 A        10 A         7 A   
   2.50 keV   4.785E-02  2.010E+00      20 A        10 A         7 A   
   2.75 keV   5.018E-02  2.100E+00      21 A        10 A         8 A   
   3.00 keV   5.241E-02  2.185E+00      22 A        11 A         8 A   
   3.25 keV   5.455E-02  2.265E+00      23 A        11 A         8 A   
   3.50 keV   5.661E-02  2.341E+00      24 A        11 A         8 A   
   3.75 keV   5.860E-02  2.413E+00      25 A        12 A         9 A   
   4.00 keV   6.052E-02  2.482E+00      25 A        12 A         9 A   
   4.50 keV   6.419E-02  2.610E+00      27 A        13 A         9 A   
