 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 29, 2024 
 ==================================================================

 Disk File Name = range/ch2/129Sn_in_ch2.txt

 Ion = Tin          [50] , Mass = 128.9135 amu

 Density =  9.3000E-01 g/cm3 = 1.1978E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    014.37   
      C      6    033.33    085.63   
 ====================================
 Bragg Correction = -1.56%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tin          [50] , Mass = 128.9135 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.672E-01  2.866E+00      76 A        16 A        11 A   
   1.10 keV   1.754E-01  3.005E+00      79 A        16 A        12 A   
   1.20 keV   1.832E-01  3.136E+00      82 A        17 A        12 A   
   1.30 keV   1.907E-01  3.260E+00      85 A        18 A        12 A   
   1.40 keV   1.979E-01  3.378E+00      88 A        18 A        13 A   
   1.50 keV   2.048E-01  3.490E+00      91 A        19 A        13 A   
   1.60 keV   2.115E-01  3.598E+00      94 A        19 A        13 A   
   1.70 keV   2.180E-01  3.702E+00      96 A        20 A        14 A   
   1.80 keV   2.243E-01  3.801E+00      99 A        20 A        14 A   
   2.00 keV   2.365E-01  3.989E+00     104 A        21 A        15 A   
   2.25 keV   2.508E-01  4.207E+00     109 A        22 A        16 A   
   2.50 keV   2.644E-01  4.408E+00     115 A        23 A        16 A   
   2.75 keV   2.773E-01  4.595E+00     120 A        24 A        17 A   
   3.00 keV   2.896E-01  4.770E+00     125 A        25 A        18 A   
   3.25 keV   3.015E-01  4.935E+00     130 A        26 A        18 A   
   3.50 keV   3.128E-01  5.091E+00     135 A        26 A        19 A   
   3.75 keV   3.238E-01  5.238E+00     139 A        27 A        20 A   
   4.00 keV   3.344E-01  5.377E+00     144 A        28 A        20 A   
