 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/au/138Ce_in_au.txt

 Ion = Cerium       [58] , Mass = 137.906 amu

 Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cerium       [58] , Mass = 137.906 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.074E-02  4.535E-01      10 A         9 A         7 A   
   1.10 keV   1.126E-02  4.777E-01      10 A         9 A         7 A   
   1.20 keV   1.176E-02  5.007E-01      10 A        10 A         7 A   
   1.30 keV   1.224E-02  5.227E-01      11 A        10 A         8 A   
   1.40 keV   1.270E-02  5.437E-01      11 A        10 A         8 A   
   1.50 keV   1.315E-02  5.640E-01      12 A        11 A         8 A   
   1.60 keV   1.358E-02  5.835E-01      12 A        11 A         8 A   
   1.70 keV   1.400E-02  6.023E-01      12 A        11 A         9 A   
   1.80 keV   1.440E-02  6.204E-01      13 A        11 A         9 A   
   2.00 keV   1.518E-02  6.551E-01      13 A        12 A         9 A   
   2.25 keV   1.610E-02  6.956E-01      14 A        12 A        10 A   
   2.50 keV   1.697E-02  7.335E-01      15 A        13 A        10 A   
   2.75 keV   1.780E-02  7.691E-01      15 A        13 A        10 A   
   3.00 keV   1.859E-02  8.028E-01      16 A        14 A        11 A   
   3.25 keV   1.935E-02  8.348E-01      17 A        14 A        11 A   
   3.50 keV   2.008E-02  8.652E-01      17 A        15 A        11 A   
   3.75 keV   2.079E-02  8.943E-01      18 A        15 A        12 A   
   4.00 keV   2.147E-02  9.221E-01      18 A        16 A        12 A   
   4.50 keV   2.277E-02  9.745E-01      19 A        17 A        13 A   
