 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 26, 2024 
 ==================================================================

 Disk File Name = range/au/145Pr_in_au.txt

 Ion = Praseodymium [59] , Mass = 144.9145 amu

 Density =  1.9311E+01 g/cm3 = 5.9040E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Au     79    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Praseodymium [59] , Mass = 144.9145 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.062E-02  4.637E-01      10 A         9 A         7 A   
   1.10 keV   1.113E-02  4.885E-01      10 A         9 A         7 A   
   1.20 keV   1.163E-02  5.122E-01      11 A        10 A         7 A   
   1.30 keV   1.210E-02  5.347E-01      11 A        10 A         8 A   
   1.40 keV   1.256E-02  5.564E-01      11 A        10 A         8 A   
   1.50 keV   1.300E-02  5.771E-01      12 A        10 A         8 A   
   1.60 keV   1.343E-02  5.972E-01      12 A        11 A         8 A   
   1.70 keV   1.384E-02  6.165E-01      12 A        11 A         8 A   
   1.80 keV   1.424E-02  6.351E-01      13 A        11 A         9 A   
   2.00 keV   1.501E-02  6.707E-01      13 A        12 A         9 A   
   2.25 keV   1.592E-02  7.124E-01      14 A        12 A         9 A   
   2.50 keV   1.678E-02  7.514E-01      15 A        13 A        10 A   
   2.75 keV   1.760E-02  7.881E-01      15 A        13 A        10 A   
   3.00 keV   1.839E-02  8.228E-01      16 A        14 A        11 A   
   3.25 keV   1.914E-02  8.557E-01      17 A        14 A        11 A   
   3.50 keV   1.986E-02  8.871E-01      17 A        15 A        11 A   
   3.75 keV   2.056E-02  9.170E-01      18 A        15 A        12 A   
   4.00 keV   2.123E-02  9.457E-01      18 A        16 A        12 A   
   4.50 keV   2.252E-02  9.997E-01      20 A        16 A        13 A   
