 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/142Tb_in_kapton.txt

 Ion = Terbium      [65] , Mass = 141.9393 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Terbium      [65] , Mass = 141.9393 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.069E-01  2.631E+00      52 A        11 A         8 A   
   1.10 keV   3.219E-01  2.763E+00      54 A        12 A         8 A   
   1.20 keV   3.362E-01  2.888E+00      56 A        12 A         9 A   
   1.30 keV   3.499E-01  3.006E+00      58 A        13 A         9 A   
   1.40 keV   3.631E-01  3.119E+00      60 A        13 A         9 A   
   1.50 keV   3.759E-01  3.228E+00      61 A        13 A         9 A   
   1.60 keV   3.882E-01  3.331E+00      63 A        14 A        10 A   
   1.70 keV   4.002E-01  3.431E+00      65 A        14 A        10 A   
   1.80 keV   4.118E-01  3.527E+00      67 A        15 A        10 A   
   2.00 keV   4.340E-01  3.710E+00      70 A        15 A        11 A   
   2.25 keV   4.604E-01  3.921E+00      74 A        16 A        11 A   
   2.50 keV   4.853E-01  4.118E+00      77 A        17 A        12 A   
   2.75 keV   5.090E-01  4.301E+00      81 A        17 A        12 A   
   3.00 keV   5.316E-01  4.474E+00      84 A        18 A        13 A   
   3.25 keV   5.533E-01  4.636E+00      87 A        19 A        13 A   
   3.50 keV   5.742E-01  4.790E+00      90 A        19 A        14 A   
   3.75 keV   5.943E-01  4.936E+00      93 A        20 A        14 A   
