 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/67Se_in_kapton.txt

 Ion = Selenium     [34] , Mass = 66.95 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Selenium     [34] , Mass = 66.95 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.498E-01  2.698E+00      43 A        13 A        10 A   
   1.10 keV   1.571E-01  2.809E+00      45 A        14 A        10 A   
   1.20 keV   1.641E-01  2.913E+00      47 A        15 A        11 A   
   1.30 keV   1.708E-01  3.010E+00      49 A        15 A        11 A   
   1.40 keV   1.773E-01  3.102E+00      51 A        16 A        11 A   
   1.50 keV   1.835E-01  3.188E+00      53 A        16 A        12 A   
   1.60 keV   1.895E-01  3.270E+00      55 A        16 A        12 A   
   1.70 keV   1.954E-01  3.349E+00      56 A        17 A        12 A   
   1.80 keV   2.010E-01  3.423E+00      58 A        17 A        13 A   
   2.00 keV   2.119E-01  3.562E+00      61 A        18 A        13 A   
   2.25 keV   2.247E-01  3.720E+00      65 A        19 A        14 A   
   2.50 keV   2.369E-01  3.864E+00      69 A        20 A        15 A   
   2.75 keV   2.485E-01  3.995E+00      73 A        21 A        16 A   
   3.00 keV   2.595E-01  4.116E+00      76 A        22 A        16 A   
   3.25 keV   2.701E-01  4.228E+00      80 A        23 A        17 A   
   3.50 keV   2.803E-01  4.333E+00      83 A        24 A        18 A   
   3.75 keV   2.901E-01  4.430E+00      86 A        24 A        18 A   
