 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/109Te_in_kapton.txt

 Ion = Tellurium    [52] , Mass = 108.9273 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Tellurium    [52] , Mass = 108.9273 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.232E-01  2.723E+00      50 A        13 A         9 A   
   1.10 keV   1.292E-01  2.851E+00      52 A        13 A        10 A   
   1.20 keV   1.349E-01  2.972E+00      54 A        14 A        10 A   
   1.30 keV   1.405E-01  3.087E+00      56 A        14 A        10 A   
   1.40 keV   1.458E-01  3.196E+00      58 A        15 A        11 A   
   1.50 keV   1.509E-01  3.300E+00      60 A        15 A        11 A   
   1.60 keV   1.558E-01  3.400E+00      62 A        16 A        11 A   
   1.70 keV   1.606E-01  3.495E+00      64 A        16 A        12 A   
   1.80 keV   1.653E-01  3.586E+00      65 A        17 A        12 A   
   2.00 keV   1.742E-01  3.759E+00      69 A        17 A        12 A   
   2.25 keV   1.848E-01  3.958E+00      73 A        18 A        13 A   
   2.50 keV   1.948E-01  4.141E+00      76 A        19 A        14 A   
   2.75 keV   2.043E-01  4.312E+00      80 A        20 A        14 A   
   3.00 keV   2.134E-01  4.471E+00      83 A        20 A        15 A   
   3.25 keV   2.221E-01  4.620E+00      87 A        21 A        15 A   
   3.50 keV   2.305E-01  4.761E+00      90 A        22 A        16 A   
   3.75 keV   2.386E-01  4.894E+00      93 A        22 A        16 A   
