 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/117Ru_in_kapton.txt

 Ion = Ruthenium    [44] , Mass = 116.9361 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Ruthenium    [44] , Mass = 116.9361 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.179E-01  2.526E+00      54 A        13 A         9 A   
   1.10 keV   1.236E-01  2.643E+00      56 A        14 A        10 A   
   1.20 keV   1.291E-01  2.753E+00      58 A        14 A        10 A   
   1.30 keV   1.344E-01  2.858E+00      61 A        15 A        11 A   
   1.40 keV   1.395E-01  2.957E+00      63 A        15 A        11 A   
   1.50 keV   1.444E-01  3.052E+00      65 A        16 A        11 A   
   1.60 keV   1.491E-01  3.142E+00      67 A        16 A        12 A   
   1.70 keV   1.537E-01  3.228E+00      69 A        17 A        12 A   
   1.80 keV   1.582E-01  3.311E+00      70 A        17 A        12 A   
   2.00 keV   1.667E-01  3.467E+00      74 A        18 A        13 A   
   2.25 keV   1.768E-01  3.647E+00      78 A        19 A        13 A   
   2.50 keV   1.864E-01  3.812E+00      82 A        20 A        14 A   
   2.75 keV   1.955E-01  3.966E+00      86 A        20 A        15 A   
   3.00 keV   2.042E-01  4.108E+00      90 A        21 A        15 A   
   3.25 keV   2.125E-01  4.242E+00      94 A        22 A        16 A   
   3.50 keV   2.205E-01  4.368E+00      97 A        23 A        17 A   
   3.75 keV   2.283E-01  4.487E+00     101 A        23 A        17 A   
