 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/124Ru_in_kapton.txt

 Ion = Ruthenium    [44] , Mass = 123.9639 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Ruthenium    [44] , Mass = 123.9639 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.145E-01  2.475E+00      56 A        13 A        10 A   
   1.10 keV   1.201E-01  2.591E+00      58 A        14 A        10 A   
   1.20 keV   1.254E-01  2.700E+00      60 A        15 A        10 A   
   1.30 keV   1.305E-01  2.804E+00      62 A        15 A        11 A   
   1.40 keV   1.355E-01  2.902E+00      65 A        15 A        11 A   
   1.50 keV   1.402E-01  2.995E+00      67 A        16 A        11 A   
   1.60 keV   1.448E-01  3.084E+00      69 A        16 A        12 A   
   1.70 keV   1.493E-01  3.170E+00      71 A        17 A        12 A   
   1.80 keV   1.536E-01  3.251E+00      73 A        17 A        12 A   
   2.00 keV   1.619E-01  3.406E+00      76 A        18 A        13 A   
   2.25 keV   1.717E-01  3.584E+00      81 A        19 A        13 A   
   2.50 keV   1.810E-01  3.749E+00      85 A        20 A        14 A   
   2.75 keV   1.899E-01  3.901E+00      89 A        20 A        15 A   
   3.00 keV   1.983E-01  4.043E+00      93 A        21 A        15 A   
   3.25 keV   2.064E-01  4.176E+00      96 A        22 A        16 A   
   3.50 keV   2.142E-01  4.301E+00     100 A        23 A        17 A   
   3.75 keV   2.217E-01  4.419E+00     103 A        23 A        17 A   
