 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/104Mo_in_kapton.txt

 Ion = Molybdenum   [42] , Mass = 103.9137 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Molybdenum   [42] , Mass = 103.9137 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.275E-01  2.587E+00      51 A        13 A         9 A   
   1.10 keV   1.337E-01  2.704E+00      53 A        14 A        10 A   
   1.20 keV   1.396E-01  2.815E+00      55 A        14 A        10 A   
   1.30 keV   1.453E-01  2.919E+00      58 A        15 A        11 A   
   1.40 keV   1.508E-01  3.018E+00      60 A        15 A        11 A   
   1.50 keV   1.561E-01  3.112E+00      62 A        16 A        11 A   
   1.60 keV   1.613E-01  3.202E+00      63 A        16 A        12 A   
   1.70 keV   1.662E-01  3.287E+00      65 A        17 A        12 A   
   1.80 keV   1.710E-01  3.370E+00      67 A        17 A        12 A   
   2.00 keV   1.803E-01  3.524E+00      71 A        18 A        13 A   
   2.25 keV   1.912E-01  3.702E+00      75 A        19 A        14 A   
   2.50 keV   2.016E-01  3.865E+00      79 A        20 A        14 A   
   2.75 keV   2.114E-01  4.016E+00      82 A        20 A        15 A   
   3.00 keV   2.208E-01  4.156E+00      86 A        21 A        15 A   
   3.25 keV   2.298E-01  4.288E+00      90 A        22 A        16 A   
   3.50 keV   2.385E-01  4.411E+00      93 A        23 A        17 A   
   3.75 keV   2.469E-01  4.527E+00      97 A        23 A        17 A   
