 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/kapton/185Hg_in_kapton.txt

 Ion = Mercury      [80] , Mass = 184.9719 amu

 Density =  1.4200E+00 g/cm3 = 8.7228E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    025.64    002.64   
      C      6    056.41    069.11   
      N      7    005.13    007.33   
      O      8    012.82    020.92   
 ====================================
 Bragg Correction = -2.25%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Mercury      [80] , Mass = 184.9719 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.495E-01  2.479E+00      56 A        11 A         8 A   
   1.10 keV   3.665E-01  2.610E+00      58 A        11 A         8 A   
   1.20 keV   3.828E-01  2.733E+00      61 A        12 A         8 A   
   1.30 keV   3.984E-01  2.851E+00      63 A        12 A         8 A   
   1.40 keV   4.135E-01  2.964E+00      65 A        13 A         9 A   
   1.50 keV   4.280E-01  3.073E+00      67 A        13 A         9 A   
   1.60 keV   4.420E-01  3.177E+00      68 A        13 A         9 A   
   1.70 keV   4.556E-01  3.278E+00      70 A        14 A         9 A   
   1.80 keV   4.688E-01  3.375E+00      72 A        14 A        10 A   
   2.00 keV   4.942E-01  3.560E+00      75 A        14 A        10 A   
   2.25 keV   5.242E-01  3.776E+00      79 A        15 A        11 A   
   2.50 keV   5.525E-01  3.977E+00      83 A        16 A        11 A   
   2.75 keV   5.795E-01  4.167E+00      87 A        16 A        11 A   
   3.00 keV   6.053E-01  4.345E+00      90 A        17 A        12 A   
   3.25 keV   6.300E-01  4.515E+00      93 A        18 A        12 A   
   3.50 keV   6.538E-01  4.676E+00      96 A        18 A        13 A   
   3.75 keV   6.767E-01  4.829E+00      99 A        19 A        13 A   
