 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/124Cs_in_cu.txt

 Ion = Cesium       [55] , Mass = 123.9122 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Cesium       [55] , Mass = 123.9122 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.046E-02  1.233E+00      13 A         7 A         5 A   
   1.10 keV   3.195E-02  1.295E+00      13 A         8 A         6 A   
   1.20 keV   3.337E-02  1.354E+00      14 A         8 A         6 A   
   1.30 keV   3.473E-02  1.410E+00      14 A         8 A         6 A   
   1.40 keV   3.604E-02  1.463E+00      15 A         8 A         6 A   
   1.50 keV   3.731E-02  1.514E+00      15 A         9 A         6 A   
   1.60 keV   3.853E-02  1.563E+00      16 A         9 A         6 A   
   1.70 keV   3.972E-02  1.610E+00      16 A         9 A         7 A   
   1.80 keV   4.087E-02  1.655E+00      17 A         9 A         7 A   
   2.00 keV   4.308E-02  1.741E+00      18 A        10 A         7 A   
   2.25 keV   4.569E-02  1.841E+00      19 A        10 A         7 A   
   2.50 keV   4.816E-02  1.933E+00      19 A        11 A         8 A   
   2.75 keV   5.051E-02  2.020E+00      20 A        11 A         8 A   
   3.00 keV   5.276E-02  2.101E+00      21 A        11 A         8 A   
   3.25 keV   5.491E-02  2.178E+00      22 A        12 A         9 A   
   3.50 keV   5.699E-02  2.250E+00      23 A        12 A         9 A   
   3.75 keV   5.899E-02  2.320E+00      24 A        13 A         9 A   
   4.00 keV   6.092E-02  2.385E+00      24 A        13 A         9 A   
   4.50 keV   6.462E-02  2.508E+00      26 A        14 A        10 A   
