 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/165Ir_in_cu.txt

 Ion = Iridium      [77] , Mass = 164.9875 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Iridium      [77] , Mass = 164.9875 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.085E-02  1.331E+00      13 A         6 A         5 A   
   1.10 keV   8.480E-02  1.401E+00      14 A         7 A         5 A   
   1.20 keV   8.857E-02  1.468E+00      14 A         7 A         5 A   
   1.30 keV   9.219E-02  1.533E+00      15 A         7 A         5 A   
   1.40 keV   9.567E-02  1.594E+00      15 A         7 A         5 A   
   1.50 keV   9.902E-02  1.653E+00      16 A         8 A         6 A   
   1.60 keV   1.023E-01  1.710E+00      16 A         8 A         6 A   
   1.70 keV   1.054E-01  1.765E+00      17 A         8 A         6 A   
   1.80 keV   1.085E-01  1.818E+00      17 A         8 A         6 A   
   2.00 keV   1.143E-01  1.919E+00      18 A         9 A         6 A   
   2.25 keV   1.213E-01  2.037E+00      19 A         9 A         7 A   
   2.50 keV   1.278E-01  2.147E+00      20 A         9 A         7 A   
   2.75 keV   1.341E-01  2.251E+00      21 A        10 A         7 A   
   3.00 keV   1.400E-01  2.349E+00      21 A        10 A         7 A   
   3.25 keV   1.458E-01  2.442E+00      22 A        10 A         8 A   
   3.50 keV   1.513E-01  2.531E+00      23 A        11 A         8 A   
   3.75 keV   1.566E-01  2.615E+00      24 A        11 A         8 A   
   4.00 keV   1.617E-01  2.696E+00      24 A        11 A         8 A   
   4.50 keV   1.715E-01  2.848E+00      26 A        12 A         9 A   
