 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/148Yb_in_cu.txt

 Ion = Ytterbium    [70] , Mass = 147.9675 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Ytterbium    [70] , Mass = 147.9675 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    7.212E-02  1.311E+00      13 A         7 A         5 A   
   1.10 keV   7.564E-02  1.380E+00      13 A         7 A         5 A   
   1.20 keV   7.901E-02  1.445E+00      14 A         7 A         5 A   
   1.30 keV   8.223E-02  1.507E+00      14 A         7 A         5 A   
   1.40 keV   8.534E-02  1.566E+00      15 A         8 A         6 A   
   1.50 keV   8.833E-02  1.623E+00      15 A         8 A         6 A   
   1.60 keV   9.123E-02  1.678E+00      16 A         8 A         6 A   
   1.70 keV   9.404E-02  1.730E+00      16 A         8 A         6 A   
   1.80 keV   9.676E-02  1.781E+00      17 A         8 A         6 A   
   2.00 keV   1.020E-01  1.878E+00      17 A         9 A         6 A   
   2.25 keV   1.082E-01  1.992E+00      18 A         9 A         7 A   
   2.50 keV   1.140E-01  2.097E+00      19 A        10 A         7 A   
   2.75 keV   1.196E-01  2.196E+00      20 A        10 A         7 A   
   3.00 keV   1.249E-01  2.290E+00      21 A        10 A         8 A   
   3.25 keV   1.300E-01  2.378E+00      22 A        11 A         8 A   
   3.50 keV   1.349E-01  2.462E+00      22 A        11 A         8 A   
   3.75 keV   1.397E-01  2.542E+00      23 A        11 A         8 A   
   4.00 keV   1.442E-01  2.619E+00      24 A        12 A         8 A   
