 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/119Tc_in_cu.txt

 Ion = Technetium   [43] , Mass = 118.9569 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Technetium   [43] , Mass = 118.9569 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.716E-02  1.143E+00      13 A         8 A         6 A   
   1.10 keV   2.848E-02  1.198E+00      14 A         8 A         6 A   
   1.20 keV   2.975E-02  1.251E+00      15 A         8 A         6 A   
   1.30 keV   3.096E-02  1.300E+00      15 A         9 A         6 A   
   1.40 keV   3.213E-02  1.348E+00      16 A         9 A         6 A   
   1.50 keV   3.326E-02  1.393E+00      16 A         9 A         7 A   
   1.60 keV   3.435E-02  1.436E+00      17 A         9 A         7 A   
   1.70 keV   3.541E-02  1.478E+00      17 A        10 A         7 A   
   1.80 keV   3.643E-02  1.518E+00      18 A        10 A         7 A   
   2.00 keV   3.841E-02  1.593E+00      19 A        10 A         7 A   
   2.25 keV   4.074E-02  1.681E+00      20 A        11 A         8 A   
   2.50 keV   4.294E-02  1.762E+00      21 A        11 A         8 A   
   2.75 keV   4.503E-02  1.837E+00      22 A        12 A         8 A   
   3.00 keV   4.704E-02  1.907E+00      23 A        12 A         9 A   
   3.25 keV   4.896E-02  1.974E+00      24 A        13 A         9 A   
   3.50 keV   5.081E-02  2.036E+00      24 A        13 A         9 A   
   3.75 keV   5.259E-02  2.095E+00      25 A        13 A        10 A   
   4.00 keV   5.431E-02  2.152E+00      26 A        14 A        10 A   
   4.50 keV   5.761E-02  2.257E+00      28 A        15 A        11 A   
