 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 27, 2024 
 ==================================================================

 Disk File Name = range/cu/109Pd_in_cu.txt

 Ion = Palladium    [46] , Mass = 108.906 amu

 Density =  8.9200E+00 g/cm3 = 8.4531E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Cu     29    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Palladium    [46] , Mass = 108.906 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.161E-02  1.164E+00      13 A         8 A         5 A   
   1.10 keV   3.315E-02  1.220E+00      13 A         8 A         6 A   
   1.20 keV   3.462E-02  1.274E+00      14 A         8 A         6 A   
   1.30 keV   3.604E-02  1.325E+00      14 A         8 A         6 A   
   1.40 keV   3.740E-02  1.373E+00      15 A         9 A         6 A   
   1.50 keV   3.871E-02  1.419E+00      15 A         9 A         6 A   
   1.60 keV   3.998E-02  1.463E+00      16 A         9 A         7 A   
   1.70 keV   4.121E-02  1.506E+00      16 A         9 A         7 A   
   1.80 keV   4.240E-02  1.547E+00      17 A        10 A         7 A   
   2.00 keV   4.470E-02  1.624E+00      18 A        10 A         7 A   
   2.25 keV   4.741E-02  1.713E+00      19 A        11 A         8 A   
   2.50 keV   4.997E-02  1.796E+00      20 A        11 A         8 A   
   2.75 keV   5.241E-02  1.873E+00      20 A        12 A         8 A   
   3.00 keV   5.474E-02  1.945E+00      21 A        12 A         9 A   
   3.25 keV   5.698E-02  2.013E+00      22 A        12 A         9 A   
   3.50 keV   5.913E-02  2.077E+00      23 A        13 A         9 A   
   3.75 keV   6.120E-02  2.137E+00      24 A        13 A        10 A   
   4.00 keV   6.321E-02  2.195E+00      25 A        14 A        10 A   
   4.50 keV   6.705E-02  2.302E+00      26 A        14 A        10 A   
