 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 25, 2024 
 ==================================================================

 Disk File Name = range/air/110Zr_in_air.txt

 Ion = Zirconium    [40] , Mass = 109.9547 amu

 Density =  1.6300E-03 g/cm3 = 6.7474E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.02    000.01   
      O      8    021.08    023.18   
      N      7    078.44    075.53   
     Ar     18    000.47    001.28   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Zirconium    [40] , Mass = 109.9547 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.018E-02  2.342E+00    4.90 um     1.37 um     9755 A   
   1.10 keV   8.410E-02  2.449E+00    5.12 um     1.42 um     1.02 um  
   1.20 keV   8.784E-02  2.549E+00    5.33 um     1.47 um     1.05 um  
   1.30 keV   9.142E-02  2.643E+00    5.53 um     1.52 um     1.09 um  
   1.40 keV   9.487E-02  2.733E+00    5.72 um     1.57 um     1.13 um  
   1.50 keV   9.820E-02  2.818E+00    5.91 um     1.62 um     1.16 um  
   1.60 keV   1.014E-01  2.899E+00    6.09 um     1.66 um     1.19 um  
   1.70 keV   1.045E-01  2.977E+00    6.27 um     1.70 um     1.23 um  
   1.80 keV   1.076E-01  3.051E+00    6.44 um     1.74 um     1.26 um  
   2.00 keV   1.134E-01  3.191E+00    6.78 um     1.82 um     1.32 um  
   2.25 keV   1.203E-01  3.352E+00    7.18 um     1.92 um     1.39 um  
   2.50 keV   1.268E-01  3.500E+00    7.56 um     2.01 um     1.46 um  
   2.75 keV   1.330E-01  3.636E+00    7.93 um     2.09 um     1.53 um  
   3.00 keV   1.389E-01  3.763E+00    8.28 um     2.17 um     1.59 um  
   3.25 keV   1.446E-01  3.882E+00    8.62 um     2.25 um     1.65 um  
