 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> June 28, 2024 
 ==================================================================

 Disk File Name = range/anthracene/104Rh_in_anthracene.txt

 Ion = Rhodium      [45] , Mass = 103.9066 amu

 Density =  1.2430E+00 g/cm3 = 1.0079E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    041.67    005.65   
      C      6    058.33    094.35   
 ====================================
 Bragg Correction = 1.27%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Rhodium      [45] , Mass = 103.9066 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.635E-01  2.781E+00      55 A        13 A        10 A   
   1.10 keV   1.715E-01  2.909E+00      57 A        14 A        10 A   
   1.20 keV   1.791E-01  3.029E+00      60 A        14 A        10 A   
   1.30 keV   1.864E-01  3.143E+00      62 A        15 A        11 A   
   1.40 keV   1.934E-01  3.251E+00      64 A        15 A        11 A   
   1.50 keV   2.002E-01  3.354E+00      66 A        16 A        11 A   
   1.60 keV   2.068E-01  3.452E+00      68 A        16 A        12 A   
   1.70 keV   2.131E-01  3.546E+00      70 A        17 A        12 A   
   1.80 keV   2.193E-01  3.636E+00      72 A        17 A        12 A   
   2.00 keV   2.312E-01  3.805E+00      76 A        18 A        13 A   
   2.25 keV   2.452E-01  4.000E+00      80 A        19 A        14 A   
   2.50 keV   2.585E-01  4.179E+00      84 A        20 A        14 A   
   2.75 keV   2.711E-01  4.345E+00      88 A        20 A        15 A   
   3.00 keV   2.831E-01  4.500E+00      92 A        21 A        16 A   
   3.25 keV   2.947E-01  4.644E+00      96 A        22 A        16 A   
   3.50 keV   3.058E-01  4.780E+00     100 A        23 A        17 A   
   3.75 keV   3.166E-01  4.908E+00     103 A        23 A        17 A   
   4.00 keV   3.269E-01  5.029E+00     107 A        24 A        18 A   
