 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> May 27, 2024 
 ==================================================================

 Disk File Name = range/si/130La_in_si.txt

 Ion = Lanthanum    [57] , Mass = 129.9124 amu

 Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV/(mg/cm2) 
 See bottom of Table for other Stopping units 

 Ion = Lanthanum    [57] , Mass = 129.9124 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    7.553E-02  1.976E+00      39 A        14 A        10 A   
   1.10 keV   7.922E-02  2.074E+00      41 A        15 A        11 A   
   1.20 keV   8.274E-02  2.166E+00      43 A        15 A        11 A   
   1.30 keV   8.612E-02  2.255E+00      44 A        16 A        12 A   
   1.40 keV   8.937E-02  2.339E+00      46 A        16 A        12 A   
   1.50 keV   9.250E-02  2.419E+00      47 A        17 A        12 A   
   1.60 keV   9.554E-02  2.496E+00      48 A        17 A        13 A   
   1.70 keV   9.848E-02  2.570E+00      50 A        18 A        13 A   
   1.80 keV   1.013E-01  2.641E+00      51 A        18 A        13 A   
   2.00 keV   1.068E-01  2.776E+00      54 A        19 A        14 A   
   2.25 keV   1.133E-01  2.933E+00      56 A        20 A        14 A   
   2.50 keV   1.194E-01  3.078E+00      59 A        21 A        15 A   
   2.75 keV   1.253E-01  3.213E+00      62 A        22 A        16 A   
   3.00 keV   1.308E-01  3.340E+00      65 A        22 A        16 A   
   3.25 keV   1.362E-01  3.460E+00      67 A        23 A        17 A   
   3.50 keV   1.413E-01  3.573E+00      69 A        24 A        17 A   
   3.75 keV   1.463E-01  3.681E+00      72 A        25 A        18 A   
   4.00 keV   1.511E-01  3.783E+00      74 A        25 A        18 A   
   4.50 keV   1.602E-01  3.974E+00      78 A        27 A        19 A   
